J,Thrust_N,Torque_Nm,CT_x100,CP_x100,CQ_x1000,OASPL_tonal_dB,OASPL_bb_dB
0,1.09655765740523,0.0254710575740399,4.73247196813086,2.47123553336367,3.93438770246632,70.3339048169846,77.2554989184621
0.0330343866745203,1.02267024182477,0.0296073284150081,4.21909922229108,2.74634884436595,4.37176631503508,NaN,NaN
0.0452861136711906,0.914913521345824,0.029306458061003,3.77116684777292,2.71585149446087,4.32347182278613,NaN,NaN
0.0987677350193477,0.782606215732319,0.0286881953399224,3.22776920135329,2.66020630973669,4.23483026349065,NaN,NaN
0.15684036826236,0.651890718911687,0.0281540152075075,2.6931710426231,2.61522092770205,4.16296804597779,NaN,NaN
0.21759314264675,0.460234981094311,0.0245731683532201,1.91312054507193,2.29702318237348,3.6559265753406,NaN,NaN
0.313096106868591,0.439658198600819,0.0251510345628274,1.84900142239618,2.37922303897697,3.78574642894969,NaN,NaN
0.408136575741484,0.264842299305453,0.0192603291491641,1.11707695330766,1.82760634134399,2.90758918724503,NaN,NaN
0.48382974485132,0.084999339187298,0.0165209941283112,0.359517423453653,1.57210354450768,2.50100274461425,NaN,NaN
0.556738050358804,-0.03678280598322,0.0136978581865055,-0.156147919931132,1.30851613824082,2.08121817936029,NaN,NaN
0.629429307370722,-0.294166233084941,0.010816394134154,-1.25067090491731,1.03502395199945,1.64591093160613,NaN,NaN
0.701126739506207,-0.310693138952073,0.00891852413309259,-1.32279347051505,0.85471854949142,1.35902351002487,NaN,NaN
0.77139042968688,-0.392871549165417,0.00721064799212264,-1.67552729463112,0.692288664501457,1.10064894236546,NaN,NaN
