J,Thrust_N,Torque_Nm,CT_x100,CP_x100,CQ_x1000,OASPL_tonal_dB,OASPL_bb_dB
0,5.07077896059681,0.142312807629707,8.36730618030494,4.14966510118852,6.60378941674893,72.4187315980907,77.0932714563524
0.0263492673499269,5.02471252086515,0.145829587742561,8.01521032407107,4.10969384381405,6.54165444420046,NaN,NaN
0.0340245207227139,4.94593817317448,0.145319750963947,7.89718130241216,4.09972100356904,6.52508717314503,NaN,NaN
0.0728695200563823,4.87061461480827,0.146644227084311,7.81211135211532,4.15598320252188,6.61436072200506,NaN,NaN
0.1021093905585,4.71147555438911,0.147885277702948,7.60432435837079,4.21770337435115,6.71223077970487,NaN,NaN
0.150558573084829,4.53320499696471,0.150173048641564,7.35222960685118,4.30390528289893,6.84926465601085,NaN,NaN
0.203197951925608,4.51607113828728,0.152533517238478,7.39086250260337,4.41113879279023,7.02001242539103,NaN,NaN
0.317706729678828,4.28337972124775,0.156481368445776,7.02909239873012,4.53765531811333,7.22126959603041,NaN,NaN
0.376025328673201,4.03834258670959,0.160316909472439,6.65723951699023,4.67008782354576,7.43204966835878,NaN,NaN
0.435919436644924,3.63763630335081,0.156980438531467,6.00694732046158,4.58065540888163,7.28984565927816,NaN,NaN
0.466877502878993,3.27139583006566,0.149506263543504,5.43630560549699,4.39022281343795,6.98664058886964,NaN,NaN
0.547690269915573,2.65457574408949,0.135195824210069,4.40232708177831,3.96204132033061,6.30505254313382,NaN,NaN
0.606062520695358,2.30526722172342,0.122205400135896,3.82255731319839,3.5809666596516,5.69851079898238,NaN,NaN
