J,Thrust_N,Torque_Nm,CT_x100,CP_x100,CQ_x1000,OASPL_tonal_dB,OASPL_bb_dB
0,4.72695216149774,0.116382033628134,7.70640264433636,3.35254859176484,5.33574023892964,74.4884257872236,78.6179279460541
0.106755018203435,4.29160179740699,0.111092234200081,7.66403276982785,3.50508225946837,5.57904524239279,NaN,NaN
0.12237184486221,4.15197776323653,0.110929184206815,7.43285067299475,3.50854721434812,5.5845020639469,NaN,NaN
0.153119042458633,3.99474027785571,0.112293025127337,7.17119483118138,3.56156312970974,5.66883743292038,NaN,NaN
0.187574206523146,3.79699455392072,0.112604452816353,6.83981736491257,3.58389328808713,5.70424727323811,NaN,NaN
0.248975408565863,3.52473688418462,0.113176903947028,6.37111024421308,3.61433563469747,5.75286885637832,NaN,NaN
0.295746401451967,3.18862479602094,0.112024800118145,5.79738804450012,3.59860364130888,5.72771469341706,NaN,NaN
0.362336054806506,2.74740195113711,0.106365151966578,5.00551082114282,3.42390651846583,5.44958981830078,NaN,NaN
0.419451937512129,2.38960593237816,0.100869687983828,4.36277342691243,3.25373132898474,5.17887342391703,NaN,NaN
0.47568588431757,1.8941505673796,0.0896526874600019,3.46386284794902,2.89674907999015,4.61049706281453,NaN,NaN
0.532982178887003,1.37275132123478,0.0784144949996364,2.51884750348687,2.54222805802222,4.04617444078477,NaN,NaN
0.590067178237954,0.881529630563221,0.0612334805106134,1.62642129326542,1.99594913255691,3.17704473435245,NaN,NaN
0.648467881800629,0.481587017175071,0.0483467671428837,0.88870449570168,1.57614102129387,2.50892854852121,NaN,NaN
